ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2023-05-09,31,39526,705,Employed,Associate,10,46268,12,Single,5,Own,489,0.489,6,1,0.148,0,Auto,0,8,6,34801,3099,166098,65165,3293,0.681,1,100933,0.0485,0.0596,3981.27,1.357,1,74.23
2024-03-15,34,63585,653,Employed,Master,16,137474,72,Divorced,3,Own,1977,0.107,12,2,0.373,0,Home,0,11,7,35036,2908,120605,48907,5298,0.758,15,71698,0.0371,0.0725,2360.33,0.819,0,11.97
2023-01-09,25,37744,580,Self-Employed,Bachelor,4,42500,48,Divorced,1,Rent,505,0.25,4,1,0.161,0,Education,0,19,3,33079,8326,223865,76616,3145,0.733,4,147249,0.0415,0.0846,1046.75,0.493,0,11.63
2024-10-06,19,190921,667,Employed,High School,0,39442,84,Married,0,Mortgage,3659,0.431,10,1,0.23,0,Debt Consolidation,0,15,0,5673,17024,914407,52618,15910,0.495,0,861789,0.0538,0.0786,612.0,0.268,1,99.28
2023-12-09,57,171841,720,Employed,High School,38,101279,120,Married,0,Mortgage,5625,0.222,6,2,0.393,1,Debt Consolidation,0,8,31,12251,26605,778362,56136,14320,0.561,21,722226,0.0565,0.0762,1208.55,0.477,1,80.01
2024-02-05,74,51270,540,Employed,High School,51,33789,24,Widowed,5,Rent,1914,0.532,6,2,0.448,0,Home,0,26,20,21822,4188,232988,67248,4272,0.666,24,165740,0.0335,0.1009,1560.59,0.813,0,0.66
2024-02-10,25,70257,541,Unemployed,High School,6,101513,48,Single,1,Rent,301,0.207,4,2,0.051,0,Debt Consolidation,0,35,4,28876,17029,376972,58322,5854,0.987,6,318650,0.0436,0.0909,2530.5,0.484,0,4.11
2023-12-18,35,54317,600,Employed,Associate,17,101625,24,Single,3,Own,1086,0.147,7,2,0.24,0,Auto,0,7,10,12436,13786,279446,60522,4526,0.952,14,218924,0.05,0.092,4652.04,1.268,0,22.25
2024-05-15,47,45510,642,Employed,High School,27,26733,36,Married,1,Rent,588,0.466,1,3,0.155,0,Home,0,24,28,31888,8274,137883,47874,3792,0.725,22,90009,0.0521,0.0794,836.98,0.376,0,20.08
2024-04-30,71,57515,462,Employed,Associate,49,63336,12,Widowed,3,Rent,2017,0.473,1,2,0.421,0,Home,0,45,26,33835,15502,204850,100998,4792,0.867,21,103852,0.0549,0.1404,5687.95,1.608,0,0.59
2023-10-03,58,53087,711,Employed,Associate,40,98502,72,Married,3,Rent,1686,0.11,1,3,0.381,0,Home,0,12,37,10683,5451,153816,92370,4423,0.951,13,61446,0.0539,0.0752,1704.06,0.766,0,41.76
2023-09-02,62,25328,643,Employed,Bachelor,42,14073,60,Divorced,1,Mortgage,991,0.14,11,2,0.47,0,Auto,0,32,17,4990,10,131517,4810,2110,0.727,9,126707,0.0395,0.0822,286.83,0.605,0,10.14
2023-05-23,51,61790,448,Unemployed,Associate,31,42893,72,Widowed,2,Mortgage,2026,0.087,0,1,0.393,0,Auto,0,37,27,16965,4417,197776,55106,5149,0.816,15,142670,0.041,0.1287,858.1,0.56,0,0.3
2024-02-23,42,53042,559,Employed,Associate,19,112486,12,Divorced,5,Rent,1881,0.352,13,2,0.426,0,Education,0,44,7,31135,5307,104726,99057,4420,0.91,19,5669,0.0566,0.1182,9984.78,2.684,0,1.0
2023-05-08,29,63329,632,Employed,High School,11,84467,24,Married,1,Rent,1332,0.373,6,1,0.252,0,Auto,0,42,4,33261,16446,278461,83030,5277,0.638,7,195431,0.0448,0.0794,3817.9,0.976,0,16.26
2023-10-05,68,52116,500,Unemployed,Bachelor,50,96441,36,Married,4,Rent,399,0.276,11,0,0.092,0,Home,0,1,36,2639,14230,120015,71198,4343,0.933,9,48817,0.0586,0.1182,3194.94,0.828,0,1.25
2024-04-20,64,45244,747,Employed,Master,43,47499,36,Married,0,Rent,652,0.588,3,0,0.173,0,Home,0,42,18,2229,7361,34365,53728,3770,0.759,9,-19363,0.0553,0.064,1453.64,0.558,1,87.61
2024-01-11,19,83906,676,Employed,Bachelor,0,27517,60,Married,2,Mortgage,1751,0.235,8,1,0.25,0,Auto,1,31,0,64614,4835,286844,25356,6992,0.558,0,261488,0.0388,0.0623,534.93,0.327,1,81.93
2023-04-01,59,70725,721,Employed,Bachelor,37,148906,48,Single,5,Own,2954,0.421,14,1,0.501,0,Debt Consolidation,0,34,18,48012,7297,312493,119798,5893,0.812,19,192695,0.0311,0.0562,3471.18,1.09,0,38.28
2023-09-19,22,108882,567,Employed,Associate,3,114144,72,Single,5,Rent,4646,0.048,8,1,0.512,0,Education,1,26,1,67501,7189,599382,159392,9073,0.903,3,439990,0.0351,0.099,2108.86,0.744,0,2.26
2024-05-03,60,69380,697,Employed,Bachelor,39,104971,84,Single,0,Other,1719,0.436,15,1,0.297,0,Debt Consolidation,0,20,19,38088,13389,362646,172360,5781,0.49,19,190286,0.03,0.0506,1486.61,0.554,1,88.08
2024-11-07,65,49079,600,Self-Employed,Bachelor,47,100250,12,Married,3,Own,677,0.069,0,1,0.166,0,Other,0,34,39,7874,2070,168457,196479,4089,0.688,24,-28022,0.0427,0.081,8725.23,2.299,0,30.84
2023-03-06,25,73746,642,Employed,Associate,3,114562,24,Single,0,Rent,1878,0.299,3,2,0.306,0,Other,1,31,2,61750,14747,354875,116766,6145,0.839,3,238109,0.0386,0.0734,5146.91,1.143,0,25.69
2023-05-15,43,20124,691,Employed,Doctorate,22,19703,84,Single,2,Own,575,0.383,1,3,0.343,0,Home,0,44,8,17735,3968,104860,15934,1677,0.812,17,88926,0.047,0.0714,298.72,0.521,1,77.5
2023-08-17,25,155102,653,Employed,High School,7,18580,84,Married,5,Own,5341,0.169,11,2,0.413,0,Auto,0,42,3,33375,7991,478794,19710,12925,0.713,5,459084,0.0562,0.0936,302.34,0.437,1,77.76
2023-05-23,50,62142,732,Self-Employed,Associate,31,53864,12,Married,0,Mortgage,2627,0.162,6,1,0.507,0,Other,0,23,13,34884,14763,240596,28822,5178,0.629,6,211774,0.0314,0.0568,4627.96,1.401,1,50.74
2024-10-23,71,161494,672,Employed,Doctorate,53,221852,24,Married,5,Mortgage,6813,0.162,15,0,0.506,0,Home,0,16,18,123230,9077,280348,409660,13457,0.96,23,-129312,0.0376,0.0749,9982.24,1.248,1,73.3
2024-10-21,22,35077,618,Employed,Master,4,36444,12,Divorced,2,Other,1049,0.598,1,3,0.359,0,Home,0,22,2,2552,10093,50567,17773,2923,0.918,2,32794,0.0446,0.088,3183.7,1.448,0,13.78
2023-03-18,41,30982,735,Self-Employed,High School,19,46688,72,Married,3,Own,274,0.342,10,3,0.106,0,Debt Consolidation,0,13,11,10443,5864,32159,69747,2581,0.617,17,-37588,0.0449,0.0502,752.34,0.398,1,89.08
2023-08-27,74,65050,754,Employed,Associate,54,29163,12,Married,5,Rent,1166,0.224,4,4,0.215,0,Other,0,46,34,10266,1515,192341,32067,5420,0.622,20,160274,0.0396,0.0504,2497.11,0.676,1,97.15
2024-07-29,35,64943,667,Unemployed,Bachelor,13,30142,36,Divorced,4,Rent,2744,0.307,5,2,0.507,0,Auto,1,21,12,46943,2641,248144,11588,5411,0.76,13,236556,0.0311,0.0697,930.28,0.679,0,16.89
2023-01-28,25,64159,780,Self-Employed,Bachelor,6,37505,60,Divorced,3,Own,2079,0.269,5,0,0.389,0,Other,0,15,6,17089,12360,107983,57581,5346,0.648,6,50402,0.0312,0.0506,708.8,0.521,0,42.27
2024-08-31,46,59451,638,Employed,Doctorate,24,92090,48,Married,4,Mortgage,1361,0.57,8,1,0.275,0,Other,0,33,18,50707,1175,172524,132653,4954,0.878,23,39871,0.0526,0.0869,2278.13,0.735,0,40.92
2023-02-06,47,39574,648,Unemployed,Master,26,21439,84,Married,2,Own,720,0.242,4,3,0.218,0,Education,0,24,11,27028,6036,55633,26088,3297,0.88,18,29545,0.0486,0.0775,331.49,0.319,0,35.79
2024-02-29,56,25779,660,Self-Employed,Bachelor,35,55864,120,Single,3,Other,502,0.037,9,0,0.234,0,Home,0,45,11,11970,7627,85747,30483,2148,0.832,0,55264,0.0341,0.0608,622.45,0.523,1,77.2
2023-04-13,36,62415,648,Employed,Bachelor,14,39044,84,Single,0,Own,2645,0.072,9,1,0.509,0,Debt Consolidation,0,40,7,17295,15138,237229,50317,5201,0.905,14,186912,0.0386,0.0821,612.64,0.626,1,59.65
2024-01-21,73,28529,632,Self-Employed,Doctorate,51,28998,36,Divorced,3,Mortgage,763,0.062,15,2,0.321,0,Auto,0,44,46,17137,1665,61545,48623,2377,0.921,4,12922,0.0457,0.0837,913.65,0.705,0,40.17
2023-01-04,48,27214,595,Employed,Bachelor,26,34843,24,Single,0,Own,325,0.055,14,2,0.143,0,Debt Consolidation,0,26,22,16280,7017,43039,20777,2267,0.55,14,22262,0.0494,0.0878,1588.28,0.844,0,16.69
2024-06-20,34,44787,570,Unemployed,High School,12,75785,72,Divorced,2,Rent,568,0.247,7,0,0.152,1,Home,0,36,10,14309,3905,89104,34981,3732,0.598,12,54123,0.0365,0.0816,1334.69,0.51,0,1.16
2023-11-13,73,67193,669,Employed,Bachelor,53,84869,72,Married,1,Rent,1137,0.283,5,2,0.203,1,Debt Consolidation,0,38,52,7926,11921,121236,54437,5599,0.745,20,66799,0.0514,0.0743,1464.52,0.465,1,80.42
2023-04-08,71,146368,767,Self-Employed,Bachelor,49,166858,24,Single,5,Own,2991,0.17,14,1,0.245,0,Home,0,36,28,16082,38837,420313,317210,12197,0.717,11,103103,0.034,0.0462,7291.93,0.843,1,99.17
2023-10-09,46,88400,733,Self-Employed,Master,23,88540,48,Single,3,Own,3112,0.318,11,0,0.422,0,Auto,0,9,15,58008,13687,406027,161885,7366,0.833,22,244142,0.0329,0.054,2055.1,0.701,0,44.85
2024-09-12,19,110924,694,Self-Employed,Bachelor,0,23772,120,Married,0,Rent,1576,0.466,14,2,0.17,0,Home,0,44,0,8800,28832,142859,42099,9243,0.628,0,100760,0.0364,0.0514,253.77,0.198,1,98.29
2023-01-30,52,75119,772,Employed,High School,31,23416,84,Widowed,4,Own,2630,0.3,14,2,0.42,1,Home,0,24,13,11486,3663,370350,14732,6259,0.872,20,355618,0.0566,0.0776,362.17,0.478,0,43.97
2023-01-14,50,65083,661,Employed,Bachelor,32,116748,120,Married,1,Mortgage,517,0.148,7,3,0.095,0,Education,1,5,24,13706,15434,146046,38765,5423,0.6,20,107281,0.0548,0.0743,1381.56,0.35,1,65.64
2023-09-25,26,189642,571,Unemployed,Master,6,151528,24,Married,0,Own,6269,0.251,0,0,0.397,0,Education,0,8,6,85767,46487,501515,167039,15803,0.902,4,334476,0.0422,0.0993,6987.35,0.839,0,16.28
2023-02-22,54,27961,628,Unemployed,High School,36,28819,48,Single,2,Mortgage,1252,0.133,14,1,0.537,0,Home,1,14,23,14699,6334,128652,16863,2330,0.735,7,111789,0.0322,0.0821,706.4,0.84,0,2.51
2023-02-09,66,44063,654,Self-Employed,High School,48,59988,12,Married,2,Mortgage,1378,0.238,6,0,0.375,0,Auto,1,9,36,18693,5962,228701,94302,3671,0.644,7,134399,0.0362,0.0715,5194.72,1.79,0,10.82
2023-10-01,24,45816,613,Employed,High School,4,4765,48,Single,1,Rent,356,0.614,6,1,0.093,0,Debt Consolidation,0,10,2,7406,6987,73233,8278,3818,0.979,3,64955,0.0521,0.0835,117.11,0.124,0,5.83
2023-02-11,59,84692,714,Self-Employed,High School,39,160995,60,Married,1,Mortgage,2783,0.203,6,2,0.394,1,Other,0,3,27,53998,20895,192552,274951,7057,0.753,4,-82399,0.051,0.0722,3204.63,0.848,0,41.98
2023-01-02,26,33210,744,Employed,Bachelor,5,41172,24,Single,2,Rent,1446,0.719,13,1,0.522,0,Debt Consolidation,0,19,6,2975,2906,103170,31384,2767,0.88,5,71786,0.057,0.0831,1867.92,1.197,0,2.09
2024-07-23,61,79357,504,Self-Employed,High School,38,77019,72,Single,4,Rent,777,0.18,4,2,0.117,0,Other,0,15,23,66819,21226,207268,109681,6613,0.6,16,97587,0.0447,0.1046,1444.77,0.336,0,3.35
2023-05-17,42,72390,646,Employed,Doctorate,20,13082,84,Divorced,3,Mortgage,1780,0.137,11,2,0.295,0,Debt Consolidation,0,35,10,17564,7781,129488,17675,6032,0.915,20,111813,0.0346,0.0678,196.04,0.328,0,21.3
2023-09-04,18,81362,398,Self-Employed,High School,0,142553,72,Married,3,Rent,3413,0.406,1,3,0.503,0,Home,0,41,0,17225,7636,328689,139813,6780,0.885,0,188876,0.0487,0.1544,3048.45,0.953,0,0.12
2023-08-24,74,80628,651,Employed,High School,54,31439,36,Divorced,2,Mortgage,570,0.216,2,3,0.085,0,Other,0,31,40,32435,14805,146470,13380,6719,0.758,9,133090,0.0342,0.0557,950.32,0.226,1,59.17
2024-11-18,27,116910,650,Employed,Associate,5,217697,72,Single,0,Own,2670,0.061,8,2,0.274,0,Auto,0,11,7,71872,25184,566112,162119,9742,0.816,5,403993,0.0379,0.0691,3702.12,0.654,1,56.49
2023-11-25,52,52859,819,Self-Employed,Bachelor,33,55864,84,Married,3,Own,1861,0.117,7,3,0.422,0,Debt Consolidation,0,38,27,43036,6036,206004,17247,4404,0.97,24,188757,0.0593,0.0804,871.82,0.62,1,84.35
2024-06-15,28,70620,792,Employed,Master,5,31666,60,Married,1,Rent,911,0.54,15,2,0.155,0,Auto,0,7,7,28349,20527,242949,16462,5885,0.865,5,226487,0.0577,0.0655,620.32,0.26,1,96.39
2024-02-16,72,37486,743,Employed,Bachelor,50,10662,24,Single,0,Rent,1082,0.244,13,1,0.346,0,Debt Consolidation,0,47,17,553,3020,171081,8164,3123,0.858,19,162917,0.0446,0.0619,473.46,0.498,1,93.96
2024-03-17,60,33443,573,Self-Employed,Doctorate,38,28639,24,Married,2,Mortgage,1194,0.565,13,1,0.428,0,Other,1,39,18,6884,9710,112838,37913,2786,0.87,15,74925,0.047,0.1052,1328.43,0.905,0,0.56
2024-03-11,64,130929,568,Employed,Associate,45,153781,24,Widowed,1,Mortgage,3654,0.156,12,2,0.335,0,Home,0,23,44,36033,4382,467792,131300,10910,0.575,20,336492,0.0469,0.1016,7107.57,0.986,0,4.93
2023-10-20,43,36096,561,Employed,High School,22,75418,48,Single,1,Rent,1058,0.29,13,1,0.352,1,Education,0,38,12,24833,9514,201685,72285,3008,0.79,22,129400,0.0448,0.1021,1920.41,0.99,0,0.42
2023-04-23,45,74656,797,Self-Employed,Master,23,36153,120,Single,3,Rent,2048,0.28,9,1,0.329,0,Education,0,22,26,57793,2083,104048,31350,6221,0.708,5,72698,0.0435,0.06,401.37,0.394,1,97.56
2023-10-11,54,70651,578,Self-Employed,Bachelor,36,46821,36,Single,5,Rent,802,0.075,4,3,0.136,0,Education,0,40,35,56147,21042,208904,23023,5887,0.878,10,185881,0.0581,0.1004,1511.66,0.393,0,2.75
2023-08-06,63,97488,625,Employed,Bachelor,44,61472,72,Single,4,Own,2713,0.1,3,0,0.334,0,Home,1,45,17,22428,10032,142326,116789,8124,0.418,7,25537,0.0405,0.0809,1080.51,0.467,0,28.54
2023-09-16,67,23644,579,Employed,Bachelor,46,12576,60,Married,4,Rent,731,0.337,5,1,0.371,0,Home,0,18,17,16124,2135,96059,7601,1970,0.519,14,88458,0.0366,0.0904,261.3,0.504,0,0.64
2024-12-30,19,84592,546,Employed,High School,0,12150,48,Married,4,Rent,3516,0.207,15,3,0.499,0,Other,0,3,0,49850,9572,116117,19775,7049,0.944,0,96342,0.0489,0.1174,318.41,0.544,0,1.03
2024-01-16,56,52626,689,Unemployed,Associate,34,99340,24,Divorced,0,Rent,2327,0.375,4,1,0.531,0,Auto,1,28,21,36525,161,254885,185017,4385,0.686,14,69868,0.0434,0.0777,4482.47,1.553,0,7.84
2024-09-13,24,40136,673,Employed,Associate,4,36890,48,Single,5,Mortgage,1068,0.626,0,1,0.319,0,Auto,0,39,5,12250,3866,187900,29023,3344,0.762,1,158877,0.039,0.0667,877.74,0.582,1,59.19
2023-03-07,34,47790,459,Employed,Associate,11,40993,84,Married,0,Mortgage,2035,0.344,13,1,0.511,0,Home,0,46,15,19399,11130,64080,28299,3982,0.871,11,35781,0.0475,0.1383,764.36,0.703,0,0.23
2023-07-29,66,90979,542,Self-Employed,Associate,47,139021,60,Single,1,Mortgage,3603,0.14,6,2,0.475,0,Other,0,36,30,47679,27051,429992,64504,7581,0.975,6,365488,0.037,0.1052,2989.48,0.87,0,1.94
2023-07-25,32,78090,682,Self-Employed,Bachelor,12,61639,24,Single,5,Rent,3369,0.235,3,4,0.518,0,Auto,0,13,6,19003,9773,67882,88421,6507,0.893,7,-20539,0.0452,0.0806,2789.45,0.946,0,33.33
2023-02-04,64,50819,653,Self-Employed,Master,46,92234,72,Divorced,2,Mortgage,225,0.313,15,2,0.053,0,Debt Consolidation,0,31,20,10850,8499,169855,133322,4234,0.369,20,36533,0.0497,0.0691,1568.52,0.423,1,55.44
2023-09-07,44,30651,623,Employed,Doctorate,25,19949,36,Single,4,Other,261,0.678,13,0,0.102,1,Debt Consolidation,0,6,17,1703,8251,161756,20782,2554,0.764,1,140974,0.0458,0.0752,620.72,0.345,0,12.51
2024-03-10,31,31752,714,Employed,High School,12,32881,36,Married,4,Own,558,0.378,14,1,0.211,0,Auto,0,30,11,5293,3718,131248,42817,2646,0.857,11,88431,0.0508,0.0628,1004.48,0.59,1,93.83
2024-04-28,37,78945,530,Employed,Master,15,44235,84,Married,0,Own,2796,0.322,3,1,0.425,0,Debt Consolidation,1,37,8,56041,20032,441752,83193,6578,0.416,15,358559,0.0482,0.117,773.79,0.543,0,0.48
2024-06-25,48,28599,606,Employed,Associate,28,54827,48,Widowed,5,Rent,660,0.195,11,0,0.277,0,Auto,0,5,13,12348,6652,129807,71843,2383,0.816,5,57964,0.0335,0.0758,1327.7,0.834,0,16.21
2023-02-22,62,51068,706,Employed,Bachelor,43,84961,84,Single,3,Mortgage,765,0.146,8,0,0.18,0,Home,0,25,31,31573,14024,280218,166685,4255,0.557,16,113533,0.0478,0.0603,1242.38,0.472,1,94.17
2024-05-23,53,207012,601,Employed,High School,34,275472,60,Divorced,3,Rent,3142,0.766,5,3,0.182,0,Other,0,2,24,95436,13394,595294,429255,17251,0.645,18,166039,0.0439,0.0827,5621.24,0.508,0,20.69
2024-06-12,72,68171,688,Unemployed,High School,51,84433,48,Single,0,Rent,2383,0.233,2,3,0.419,0,Auto,1,40,29,30897,10735,295736,50386,5680,0.896,1,245350,0.0401,0.069,2017.94,0.775,0,34.15
2024-12-13,68,78521,556,Self-Employed,Master,46,62904,60,Single,1,Rent,3092,0.312,4,0,0.473,0,Home,0,38,25,22207,16232,275348,41150,6543,0.545,14,234198,0.0411,0.1058,1354.55,0.68,0,2.15
2023-09-21,61,31871,585,Self-Employed,Bachelor,38,46592,36,Married,2,Rent,636,0.346,1,1,0.239,0,Education,1,27,25,6527,5988,102011,63162,2655,0.925,2,38849,0.0573,0.103,1509.96,0.808,0,3.33
2024-01-21,52,29329,499,Self-Employed,High School,34,22241,84,Single,5,Mortgage,433,0.057,5,1,0.177,0,Debt Consolidation,0,1,25,12621,3660,68991,37471,2444,0.815,16,31520,0.0513,0.1154,387.16,0.336,0,0.46
2023-11-19,34,80652,474,Employed,Master,11,31486,12,Married,3,Mortgage,1173,0.616,15,1,0.175,0,Debt Consolidation,1,43,12,23893,7147,189232,32551,6721,0.882,11,156681,0.0478,0.118,2794.55,0.59,0,0.46
2024-10-11,41,47043,617,Employed,Master,21,34510,120,Married,5,Mortgage,1785,0.233,0,0,0.455,0,Home,0,5,19,24220,1111,241011,21868,3920,0.78,13,219143,0.038,0.0865,430.65,0.565,0,9.68
2024-07-09,24,97422,700,Employed,Associate,2,110902,24,Divorced,1,Mortgage,3964,0.569,12,0,0.488,0,Auto,0,13,4,76147,7120,217828,57859,8118,0.705,2,159969,0.0499,0.0793,5012.26,1.106,1,53.19
2024-02-22,39,58195,649,Employed,High School,21,33404,60,Single,2,Rent,2503,0.294,12,1,0.516,0,Auto,0,19,9,25814,15165,241979,14597,4849,0.363,15,227382,0.0598,0.1034,715.34,0.664,0,22.48
2024-03-24,71,320674,764,Employed,Associate,50,576780,120,Single,2,Rent,9095,0.239,11,0,0.34,1,Home,0,36,38,254350,75467,1571122,924663,26722,0.804,21,646459,0.0466,0.0636,6508.21,0.584,1,99.97
2023-04-17,42,42780,624,Employed,Bachelor,19,53962,84,Married,0,Rent,1545,0.287,14,0,0.433,1,Home,0,21,21,12378,4997,161572,16828,3565,0.774,6,144744,0.0572,0.1028,903.66,0.687,0,7.21
2023-08-20,24,65812,469,Employed,Associate,6,106694,72,Married,3,Own,1340,0.377,3,1,0.244,0,Auto,0,46,3,48212,4097,350340,42162,5484,0.778,6,308178,0.0598,0.1348,2168.91,0.64,0,0.6
2024-10-30,55,36421,690,Unemployed,Bachelor,33,58033,120,Married,1,Rent,375,0.428,1,4,0.124,0,Debt Consolidation,0,2,34,6133,4291,131234,50151,3035,0.778,6,81083,0.0552,0.0689,670.53,0.344,1,76.89
2023-01-09,73,95419,562,Employed,Doctorate,55,61367,48,Single,1,Mortgage,1149,0.36,8,1,0.144,0,Home,0,42,47,68208,16117,292667,120205,7951,0.887,12,172462,0.0364,0.0831,1507.09,0.334,0,12.21
2024-09-02,68,70987,671,Employed,Doctorate,45,90637,72,Married,5,Rent,2181,0.015,2,1,0.369,0,Auto,0,5,23,40924,13274,189443,75647,5915,0.973,24,113796,0.0564,0.0871,1620.77,0.643,0,29.06
2024-03-28,33,35221,454,Employed,Bachelor,11,69110,84,Married,5,Rent,247,0.106,14,2,0.084,0,Debt Consolidation,0,39,11,3171,9706,44436,137671,2935,0.522,4,-93235,0.0503,0.121,1223.68,0.501,0,0.31
2023-11-18,44,48598,635,Employed,Master,21,7626,48,Single,1,Rent,317,0.243,2,2,0.078,0,Education,0,5,11,19699,8665,94325,4791,4049,0.798,18,89534,0.0474,0.0726,183.54,0.124,0,37.14
2024-11-15,48,113087,723,Unemployed,Associate,25,57526,36,Single,2,Own,560,0.34,2,2,0.059,0,Home,0,1,22,90057,21922,223279,92789,9423,0.692,16,130490,0.059,0.062,1755.27,0.246,1,95.09
2024-02-15,32,106495,712,Employed,Bachelor,13,31941,12,Widowed,0,Rent,1907,0.076,3,2,0.215,0,Education,0,9,6,20287,30194,337369,37085,8874,0.75,3,300284,0.0533,0.066,2757.86,0.526,1,93.36
2024-06-11,33,28079,637,Self-Employed,High School,13,8131,24,Married,1,Rent,827,0.295,11,0,0.353,1,Auto,0,7,6,15044,1100,112306,12918,2339,0.294,13,99388,0.0337,0.0721,364.82,0.509,0,4.2
2023-04-13,31,45117,655,Employed,High School,9,19646,120,Single,5,Mortgage,1878,0.339,5,1,0.499,0,Education,0,31,4,4772,847,99326,10404,3759,0.851,9,88922,0.0595,0.1007,260.39,0.569,0,16.06
2023-01-17,75,141591,615,Employed,Bachelor,56,301286,48,Single,0,Own,2396,0.252,9,2,0.203,0,Home,1,43,47,105750,27110,608631,111269,11799,0.735,5,497362,0.0587,0.0951,7570.69,0.845,0,35.79
2024-11-20,61,52386,633,Employed,Master,42,52038,120,Married,3,Rent,1770,0.267,7,2,0.405,0,Home,0,36,26,37127,7664,292763,49456,4365,0.821,21,243307,0.0501,0.0921,665.12,0.558,0,33.58
2023-09-07,66,62424,716,Employed,Bachelor,48,121657,48,Single,4,Mortgage,2269,0.161,5,1,0.436,0,Debt Consolidation,0,44,34,913,16767,300055,102261,5202,0.716,13,197794,0.0569,0.0797,2968.29,1.007,1,56.24
2024-01-08,65,95174,592,Self-Employed,Bachelor,42,132429,24,Single,4,Rent,3462,0.268,1,2,0.437,0,Debt Consolidation,0,13,39,759,13288,89794,178139,7931,0.387,14,-88345,0.0527,0.1066,6151.35,1.212,0,25.33
2024-09-03,73,29258,601,Employed,Associate,54,21148,60,Married,4,Mortgage,1326,0.067,12,0,0.544,0,Education,0,42,34,1270,8591,109706,30628,2438,0.789,6,79078,0.0538,0.1108,460.65,0.733,0,7.11
2023-08-12,24,35601,517,Employed,Master,4,71753,12,Married,3,Rent,773,0.008,1,2,0.261,0,Debt Consolidation,0,46,5,15566,2943,117024,117412,2966,0.664,4,-388,0.0459,0.1097,6340.65,2.398,0,0.75
2023-05-25,69,48443,718,Employed,Bachelor,49,82994,84,Single,5,Rent,2051,0.108,11,2,0.508,0,Auto,0,26,25,42177,6877,211290,49027,4036,0.899,18,162263,0.0332,0.0591,1208.84,0.807,0,43.42
2023-06-16,21,104017,631,Employed,Master,1,131660,60,Divorced,3,Own,3431,0.095,11,3,0.396,0,Auto,0,16,2,72962,24814,167205,130247,8668,0.844,1,36958,0.0422,0.0842,2696.13,0.707,0,46.98
2024-01-05,45,94833,546,Employed,Master,23,91180,84,Married,0,Rent,2047,0.168,7,1,0.259,0,Home,0,37,8,51307,26685,489677,182180,7902,0.45,3,307497,0.0581,0.1146,1583.36,0.459,0,3.93
2023-01-06,52,81624,734,Self-Employed,Bachelor,29,44905,84,Single,2,Own,1924,0.429,2,0,0.283,0,Home,0,16,25,53301,21986,205639,24597,6802,0.869,19,181042,0.0403,0.0544,644.01,0.378,1,93.18
2023-06-23,38,53125,650,Self-Employed,Bachelor,17,79962,84,Widowed,0,Own,1093,0.38,1,3,0.247,0,Home,0,23,6,2128,14433,241014,89405,4427,0.77,14,151609,0.0525,0.0824,1255.89,0.531,0,15.35
2023-08-15,26,100186,588,Employed,High School,3,219873,60,Single,1,Mortgage,2583,0.117,10,2,0.309,0,Education,0,13,3,66178,29093,149271,259844,8348,0.633,3,-110573,0.0385,0.087,4532.26,0.852,0,46.02
2024-03-19,29,52768,735,Employed,Associate,11,20774,84,Single,4,Mortgage,1462,0.19,7,2,0.332,0,Auto,1,24,10,32715,14160,125317,13399,4397,0.449,11,111918,0.0563,0.0729,316.49,0.404,1,77.86
2024-03-14,65,76037,624,Employed,Bachelor,42,117293,72,Single,3,Mortgage,1443,0.095,4,0,0.228,0,Debt Consolidation,0,19,46,6794,19474,126613,210021,6336,0.964,13,-83408,0.0499,0.0853,2087.01,0.557,1,59.37
2023-01-17,36,89861,513,Employed,High School,18,141992,84,Married,2,Rent,2523,0.103,3,1,0.337,0,Debt Consolidation,1,42,17,80527,14614,269506,272955,7488,0.467,9,-3449,0.0558,0.1244,2540.08,0.676,0,0.45
2024-09-13,35,133040,741,Employed,Master,17,198343,24,Married,5,Own,1972,0.088,0,0,0.178,0,Home,0,30,16,37701,39608,203084,175332,11086,0.938,17,27752,0.0343,0.0432,8641.31,0.957,1,98.62
2024-06-30,71,55372,579,Employed,Associate,53,13920,12,Married,1,Rent,1489,0.123,3,2,0.323,0,Other,0,29,16,45427,2060,300792,15973,4614,0.511,14,284819,0.0563,0.1077,1228.78,0.589,0,2.41
2024-04-11,26,47509,850,Employed,Master,7,41151,12,Married,3,Mortgage,1822,0.36,5,0,0.46,0,Auto,1,6,4,38419,12041,77892,63250,3959,0.669,7,14642,0.0404,0.0634,3548.15,1.356,0,46.36
2023-06-20,71,108829,614,Unemployed,Master,48,150089,36,Married,4,Rent,4440,0.529,10,2,0.49,0,Home,0,34,25,25153,32464,184136,163639,9069,0.496,22,20497,0.0508,0.1018,4855.64,1.025,0,39.37
