Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalLiabilities,JobTenure,NetWorth,LoanApproved,LoanToIncomeRatio,SavingsToLoanRatio
70,100606,670,0,1,199551,12,453,0.408,0.054,0,0,1,30,36,23279,14869,330656,15,-5111,1,1.9834703350661484,0.11665631013470174
35,122038,619,0,3,116219,84,1648,0.46,0.162,0,1,0,19,6,55394,9289,155338,14,343822,1,0.9523103270266062,0.47663052830838065
48,30914,705,0,0,16635,12,902,0.012,0.35,0,3,0,4,29,917,582,28564,7,98976,0,0.5380883066472586,0.055121423419091126
75,40069,515,0,1,54449,60,1033,0.244,0.309,0,3,0,8,45,18983,10633,92001,4,89871,0,1.3588470177189917,0.3486317722681359
61,25646,697,0,3,35590,24,204,0.479,0.095,0,1,1,8,22,17862,5461,32194,23,39722,1,1.3876866690061216,0.5018684498890169
30,92094,821,0,2,104957,72,688,0.366,0.09,0,1,0,29,7,5858,20399,73259,12,121848,1,1.1396601335577392,0.05581280131100059
52,25482,605,1,3,35663,24,759,0.311,0.357,0,3,0,15,29,1672,2093,19137,0,23660,0,1.3994820076129184,0.04688200986989682
53,22249,665,0,0,40289,48,229,0.095,0.124,0,0,0,37,22,7753,323,40416,6,-3242,1,1.810741573033708,0.19242988334574337
55,31297,637,0,3,11497,48,1073,0.169,0.411,0,0,0,6,29,10932,4868,16038,24,86996,0,0.36733976611924085,0.9507740476604627
19,22716,639,1,0,22837,36,977,0.307,0.516,1,4,0,5,0,8003,2710,26768,1,64409,0,1.005282387639213,0.3504247307119713
35,62073,567,2,0,133833,48,890,0.351,0.172,0,3,0,29,9,890,3979,84368,11,-21932,0,2.156023455875246,0.006650029140577133
67,31499,839,0,1,34427,24,762,0.254,0.29,0,1,0,22,42,12404,8205,33411,11,97172,1,1.0929206349206348,0.36028813756244915
31,23268,694,1,4,17056,24,210,0.22,0.108,0,3,0,21,5,8089,1385,16064,9,95654,1,0.7329923933129915,0.4742334525414786
35,53053,599,0,0,40266,84,394,0.214,0.089,0,3,0,48,12,7816,1984,62701,3,185535,0,0.7589625664417387,0.19410435344078278
36,54641,589,1,3,70325,12,1178,0.407,0.259,0,3,0,30,6,13691,13591,90275,3,99159,0,1.2870136525017386,0.1946790660637602
28,21271,665,1,3,23561,24,698,0.404,0.394,0,1,0,11,6,13380,6323,19101,9,84398,0,1.1076062429484768,0.5678635090399796
27,37916,464,0,3,37739,72,1486,0.265,0.47,0,1,0,6,7,19943,2901,16385,4,27922,0,0.9953055357755096,0.5284313725490196
38,52191,754,2,3,60426,48,471,0.168,0.108,0,0,0,6,9,40301,7617,60334,18,224045,1,1.1577636419374617,0.6669369652638721
68,45323,613,1,0,42321,48,1968,0.336,0.521,0,0,0,14,22,7466,4435,80970,16,-40499,0,0.9337437119406937,0.17640943244648175
18,45947,694,2,3,69712,60,424,0.144,0.111,0,4,0,15,0,527,289,84008,0,-6138,1,1.517193349003221,0.00755956564772711
34,97698,699,0,3,49924,12,722,0.68,0.089,0,3,0,48,8,10109,21422,31521,0,360347,1,0.5109980654868524,0.20248372558838257
21,158462,746,0,2,108987,24,3514,0.276,0.266,0,2,1,25,1,85495,5853,179422,3,152938,1,0.6877756952727135,0.7844441589899805
50,46321,704,0,3,78047,120,1880,0.117,0.487,0,1,0,33,26,9251,8756,26913,2,32256,0,1.684879754760157,0.11852962279622796
32,27974,726,0,1,36002,84,135,0.514,0.058,0,2,0,18,13,10388,7938,23464,11,14213,1,1.2869347631814119,0.2885315112629503
63,48180,751,1,0,52736,72,1585,0.349,0.395,0,2,0,46,24,3344,13056,64387,3,113822,0,1.0945393412340965,0.06340899178944574
51,59703,630,0,1,130735,24,1399,0.212,0.281,0,4,1,8,14,17640,14321,221255,19,-124397,0,2.1897192817901647,0.1349284053359442
63,52752,850,0,3,53549,24,838,0.186,0.191,0,2,0,32,28,42165,14279,37209,15,82629,1,1.0150891892404224,0.7873949579831933
54,73522,691,0,3,147687,84,1374,0.097,0.224,0,2,0,10,12,11331,32,236804,15,-163110,1,2.008718360241013,0.0767225502410487
43,163726,657,0,0,152079,24,1986,0.165,0.146,0,2,0,6,17,57770,4529,56145,20,322501,1,0.9288571829936418,0.3798658600736454
67,23004,584,0,1,47783,24,613,0.425,0.32,0,1,0,46,23,1131,3418,90121,20,3098,0,2.077070202129972,0.023669010547463586
45,42043,641,0,2,4491,12,938,0.491,0.268,0,0,0,25,17,3481,9364,3782,15,44248,0,0.10681666825230711,0.77493321460374
73,117075,696,0,1,256610,12,2917,0.62,0.299,0,2,0,45,36,38484,8336,497504,2,131043,1,2.191824114250572,0.14997018833954898
75,41730,668,1,1,13260,72,203,0.156,0.058,0,3,0,9,33,34331,11137,17913,20,186629,1,0.31774939493422155,2.5888696176758916
52,80398,824,0,1,173393,24,1039,0.272,0.155,0,2,0,47,14,61145,1913,234569,18,-48450,1,2.156656177315638,0.3526361927171644
57,74269,624,0,2,84860,60,2835,0.208,0.458,0,3,0,2,14,35240,15399,158540,0,155485,0,1.1425878551231992,0.41526731949894535
32,100552,721,1,1,217189,84,3889,0.465,0.464,0,0,0,40,13,21292,27700,170101,12,-46116,0,2.159945501377383,0.09803397946498457
65,141021,558,0,0,24065,84,4167,0.622,0.355,0,1,0,44,31,88436,37966,41159,4,262844,0,0.17064713307143567,3.6747278317958947
56,63993,850,1,1,86980,60,2232,0.115,0.419,1,4,0,31,34,46108,8514,109109,2,246375,0,1.3591899240553802,0.5300927788827445
70,22631,552,0,4,6384,48,917,0.069,0.486,0,4,1,7,37,9607,3244,10059,11,42540,0,0.28207847295864263,1.5046202036021927
33,38169,846,1,4,76027,12,1280,0.38,0.402,0,0,0,23,10,23909,9018,126876,12,64827,1,1.9917998428084884,0.3144762455937286
63,161623,647,0,4,41219,48,7222,0.262,0.536,0,1,0,15,44,83277,45725,69789,6,819317,1,0.2550301935356135,2.0203056768558953
45,26712,458,0,3,17147,84,1195,0.261,0.537,0,3,0,44,19,11924,879,6665,3,21474,0,0.6418972036087298,0.695358059248892
28,69452,781,0,1,47505,36,882,0.501,0.152,0,0,0,44,4,24779,15370,33504,4,132767,1,0.68398773271133,0.5215972719235465
27,15409,667,0,0,6860,12,70,0.159,0.055,0,3,0,34,7,13675,4479,6795,9,51648,1,0.445165476963011,1.9931496866346015
50,27567,619,1,2,8891,48,173,0.414,0.075,0,0,0,14,14,2046,385,17554,24,32758,0,0.3225116076610563,0.2300944669365722
36,84412,717,0,3,79598,48,738,0.114,0.105,0,4,0,26,6,5109,9797,58549,15,78453,1,0.9429590228993164,0.0641842234198922
23,55159,719,0,1,111954,72,2349,0.332,0.511,0,3,0,4,3,38003,9783,54235,1,69699,0,2.02962291515591,0.3394488857130097
42,44881,697,2,1,44665,48,741,0.351,0.198,0,1,0,5,19,23671,2928,45845,8,169540,1,0.9951650995944922,0.5299556709801638
55,36055,762,0,3,59742,72,1580,0.508,0.526,0,2,0,10,17,10757,4055,118501,19,45123,0,1.656922564899046,0.18005456706224998
36,19964,682,1,4,13574,60,842,0.304,0.506,0,1,0,41,15,12918,1897,13591,15,51087,0,0.6798898071625344,0.9516022099447514
73,76626,718,1,1,66368,72,2849,0.297,0.446,0,3,0,24,51,6398,6199,55278,15,339001,1,0.8661176869771752,0.09640042791062092
63,47024,613,2,3,12272,72,1198,0.298,0.306,0,1,0,25,38,7979,11233,22537,14,198756,0,0.2609675704412546,0.6501262934897744
47,25312,728,1,1,47151,60,980,0.349,0.465,0,1,1,45,16,16039,5715,77292,19,-26494,0,1.8627187611108917,0.34015524261961316
72,55000,613,0,1,50855,72,2183,0.196,0.476,0,2,0,9,46,40545,16354,59916,21,70529,0,0.9246195523717751,0.797251061821614
43,72447,558,2,3,86392,36,315,0.592,0.052,0,1,0,46,19,61093,6829,95727,19,202271,0,1.1924690812720848,0.7071521998310049
26,49004,641,0,2,20832,12,807,0.317,0.198,0,3,0,25,3,25598,4452,8726,4,141005,0,0.42509947964493416,1.2287236595785533
20,57411,635,0,1,76579,48,2427,0.233,0.507,0,1,0,37,1,13078,3419,94878,2,96832,0,1.3338500661882533,0.17077565944110734
72,55219,743,0,1,16617,60,413,0.468,0.09,0,1,0,0,22,13202,16178,8443,12,176873,1,0.3009235784136183,0.7944397641112048
73,38047,529,0,1,42939,120,1669,0.382,0.526,0,4,0,1,39,26896,298,56418,20,144932,0,1.1285481497056349,0.6263623660922217
60,55666,758,1,3,110391,60,314,0.125,0.068,0,0,0,24,35,23895,3946,62192,9,182843,1,1.9830599816767565,0.2164559026016378
23,78245,603,2,1,163185,72,680,0.174,0.104,0,1,0,6,2,53470,12567,251728,0,75176,0,2.0855379188712524,0.3276629122596301
35,90882,438,0,0,186488,36,3824,0.113,0.505,0,1,0,15,15,45603,16867,206535,14,-35278,0,2.051956911633639,0.24453453018676705
20,80447,551,0,4,163021,72,1717,0.349,0.256,0,0,0,24,1,12,1515,144262,0,177624,0,2.0264145783611776,7.36096968507318e-05
20,38655,632,1,4,51428,84,417,0.489,0.129,0,2,0,39,1,5785,9243,74000,2,60780,0,1.330401490066225,0.11248517373466332
32,74466,699,0,4,46382,48,2078,0.501,0.335,0,3,0,0,6,33687,16655,74489,10,226522,1,0.6228530758591053,0.7262790246426493
51,68372,648,2,3,121154,60,1934,0.261,0.339,0,4,0,10,11,46422,13453,49375,14,193773,0,1.7719567665598994,0.3831620651231893
21,37992,551,0,1,9063,72,256,0.083,0.081,1,1,0,7,2,27016,3553,10001,0,91222,0,0.2385439423051615,2.9805825242718447
75,42952,589,0,2,92161,60,1596,0.212,0.446,0,1,0,21,28,22991,7752,179960,6,9681,0,2.1456242870113846,0.24946290228076648
44,76103,552,0,0,130982,48,3399,0.169,0.536,0,2,0,35,17,8707,15311,61699,6,307572,0,1.721092189635236,0.06647427528763275
33,107845,683,0,0,126317,84,2198,0.317,0.245,0,1,0,8,13,63677,25283,243131,15,202489,1,1.1712719989614822,0.5041007615700058
47,21898,651,2,3,46781,84,168,0.229,0.092,0,3,0,14,11,2480,3118,85317,1,24430,0,2.1362162655829033,0.05301184216151511
63,123011,715,0,3,169440,84,5234,0.211,0.511,0,4,0,1,21,44063,17631,126785,20,183823,1,1.3774265925275584,0.26004922067268255
36,96962,500,0,3,15984,12,2287,0.641,0.283,0,0,0,3,16,70339,650,17293,8,379471,0,0.1648463847034436,4.400312793243666
20,59847,611,0,3,87645,84,1057,0.219,0.212,0,4,0,10,0,48371,13046,173332,0,139183,0,1.464459965245288,0.5518905597517285
20,48032,842,0,0,71920,120,1782,0.114,0.445,0,1,0,35,1,23838,8671,114190,2,64072,1,1.4973039368767307,0.3314470043519973
67,65855,717,0,1,13632,12,1820,0.216,0.332,0,2,0,21,21,8248,18013,13035,22,248664,1,0.20699708454810495,0.605002567299934
24,39328,633,0,1,41391,60,1496,0.637,0.456,0,1,0,37,4,34366,6230,81506,2,141334,0,1.0524295049454602,0.8302570545032857
54,49570,571,2,0,77384,24,678,0.128,0.164,0,1,1,7,14,29062,2740,39111,23,18144,0,1.5610740150491214,0.37555081734186213
40,25912,759,1,4,47861,12,868,0.123,0.402,0,0,0,27,16,1335,7162,65576,0,22533,0,1.8469879983020105,0.02789269148802808
63,22679,797,2,4,9628,120,176,0.299,0.093,0,1,0,23,22,1114,1990,3394,1,56602,1,0.42451499118165786,0.11569217987329941
21,173885,556,0,0,43948,12,1572,0.296,0.108,0,0,0,15,2,64845,45489,69457,1,189482,0,0.25274030111682366,1.4754601924958475
70,55912,565,0,1,29795,36,368,0.079,0.079,0,3,0,6,41,2662,10111,23102,23,79812,0,0.5328814408098296,0.08934085112095583
58,59984,685,0,4,62058,72,399,0.077,0.08,0,1,1,7,18,18735,6672,51728,9,57890,1,1.034558639659915,0.3018901368052982
44,53350,693,0,3,35692,36,538,0.225,0.121,0,3,0,39,13,12124,2011,61309,12,174846,1,0.6690033926261926,0.339674445969798
30,35814,703,2,0,56877,12,975,0.21,0.327,0,0,0,26,7,5468,4479,87212,10,60784,1,1.5880776211084742,0.09613558845247723
74,46465,825,2,1,68232,12,441,0.299,0.114,0,1,0,38,41,37018,11984,105267,18,9575,1,1.468428528386347,0.542523412425073
35,56703,572,0,0,65427,36,1622,0.305,0.343,0,0,1,4,9,16941,12371,78892,10,-14362,0,1.1538339446952597,0.25892584214709297
46,49103,663,2,1,103476,72,1719,0.199,0.42,0,3,0,46,10,23916,10335,31125,21,246816,0,2.107282502443793,0.23112382461803105
40,37193,724,2,3,77253,12,474,0.268,0.153,0,3,0,47,20,24156,1979,45824,14,147877,1,2.077028552992418,0.3126828384290781
31,68854,723,0,1,64520,72,2776,0.273,0.484,0,1,1,44,7,21417,6669,34384,10,254552,0,0.9370416091787089,0.3319384386478821
42,59526,601,0,2,39825,72,785,0.369,0.158,0,2,0,11,20,31069,13535,79056,22,26010,0,0.6690241403060796,0.7801185155426104
26,65936,605,0,2,95981,120,2869,0.169,0.522,0,0,0,4,6,10379,19001,73389,5,157605,0,1.455647057039295,0.10813485861932445
18,77074,618,0,1,102691,84,2439,0.147,0.38,0,1,1,18,0,25265,11032,98339,0,317466,0,1.3323516055789815,0.2460269543878783
34,49748,813,1,2,76125,84,1106,0.372,0.267,0,0,0,26,8,28201,11202,135063,10,-54180,1,1.5301815111861545,0.3704516196831569
24,49789,571,0,4,18381,12,641,0.156,0.154,0,4,0,9,5,5149,7533,33801,2,211140,0,0.3691705161679052,0.2801109781307801
42,113689,630,1,3,115241,48,1233,0.04,0.13,0,3,1,27,9,98625,8356,214880,7,366722,0,1.0136423608056997,0.8558077784141198
68,33792,729,1,1,71069,60,543,0.36,0.193,0,3,0,31,40,2821,6106,134865,15,23683,1,2.1030686828633147,0.03969326016603349
27,21230,562,1,2,38404,120,110,0.15,0.062,0,0,0,36,8,18817,1375,58646,1,22798,0,1.8088643964014883,0.4899622444994141
18,71522,683,0,1,136423,48,2872,0.51,0.482,0,2,0,31,0,7964,19392,91186,0,44047,0,1.9074004166491898,0.05837682519204832
24,39550,489,1,4,70393,24,1257,0.424,0.381,0,1,1,18,3,26455,1997,68888,1,129621,0,1.7798032919521631,0.37581327954086996
47,31613,677,0,1,15498,72,823,0.307,0.312,0,0,0,0,10,23201,4660,21607,8,136803,1,0.4902258493072689,1.4969352861474934
33,84340,664,1,3,153185,60,1012,0.429,0.144,0,1,0,8,12,41237,12781,152760,4,193382,1,1.8162578105547718,0.26919561839854816
46,50393,674,0,3,18030,36,1944,0.584,0.463,0,3,0,40,8,10424,5394,25804,7,36813,0,0.35778068817716396,0.5781154678054462
19,28802,581,0,1,16934,12,240,0.397,0.1,0,1,0,20,0,14432,1592,23278,1,132164,0,0.5879248689372635,0.8521995866548568
37,142553,680,1,0,154664,120,3976,0.377,0.335,0,3,0,10,11,117575,5848,116753,17,655393,1,1.0849502644611866,0.7601913813726441
41,24213,656,0,1,24299,24,1037,0.198,0.514,0,3,0,25,10,19443,234,43644,13,88021,0,1.0035103659040225,0.8001234567901234
43,51878,776,1,0,95377,72,253,0.256,0.059,0,0,0,42,19,3177,3693,177657,20,51107,1,1.8384510110063803,0.033309568244249195
49,21064,717,0,3,24159,24,530,0.34,0.302,0,0,0,39,17,15181,1385,19547,3,77259,1,1.1468787087586043,0.6283526490066225
63,62027,529,0,0,10257,60,2593,0.39,0.502,0,3,1,18,18,29856,10358,20470,9,76161,0,0.16536080479783324,2.910508871124976
45,39318,585,0,0,69791,120,1484,0.084,0.453,0,1,0,27,8,9968,6374,26195,20,140039,0,1.7749942775757268,0.1428243924805135
66,81604,604,0,0,87608,36,443,0.046,0.065,0,0,0,2,38,15031,9248,139410,11,235298,0,1.0735616690153789,0.1715691310253513
48,53707,676,0,2,25666,120,785,0.079,0.175,0,1,0,21,17,41054,3588,21026,17,218359,1,0.4778803902584345,1.599485720964663
33,106436,644,0,2,30527,120,1148,0.658,0.129,0,4,0,33,13,22228,22709,45870,12,310199,1,0.28680815881695276,0.7281184486373166
31,43701,644,2,3,93945,72,1641,0.604,0.451,0,2,0,10,8,14213,7792,59654,0,-10732,0,2.1496727838542857,0.15128903838375238
36,24287,850,1,3,21666,36,328,0.239,0.162,0,0,0,20,13,13255,3219,14050,17,107136,1,0.8920454545454546,0.6117598190797064
52,61007,613,2,3,70295,60,2600,0.261,0.511,0,0,1,11,19,45137,16995,67570,7,148612,0,1.1522259375819566,0.642099123705474
32,47749,785,1,1,78389,60,1517,0.597,0.381,0,0,0,31,8,5909,5166,149248,0,-86659,1,1.64165445026178,0.07537951269294553
71,21815,646,0,1,43059,120,363,0.605,0.2,0,1,0,30,31,11752,4395,55468,3,-8048,0,1.9737348734873488,0.2729215048769159
45,31962,463,0,3,13239,72,210,0.292,0.079,0,1,0,36,19,10593,3344,23613,23,88614,0,0.41419766605137187,0.8000755287009064
68,37475,677,1,1,28335,60,330,0.302,0.106,0,2,0,47,18,11650,8060,19427,11,26078,1,0.7560838936919628,0.41113777526821005
57,117911,760,0,0,105202,48,4976,0.076,0.506,1,0,0,16,16,44473,35123,139963,17,216953,1,0.8922077481511635,0.4227350931057099
37,77166,717,1,1,85507,120,740,0.208,0.115,0,0,0,18,16,61984,15271,133504,3,177677,1,1.1080772869231665,0.7248912382467138
31,45530,683,0,1,58678,72,791,0.15,0.208,0,4,0,17,10,34650,11093,71013,11,197028,1,1.288748325316817,0.5905008606145299
61,68557,662,0,3,37490,84,1773,0.371,0.31,0,2,0,5,25,18884,19413,18726,22,115306,1,0.5468362554333557,0.5036942199461204
37,19540,615,0,4,26061,24,694,0.096,0.426,0,3,0,11,13,9731,2591,15357,4,12429,0,1.3336574382068471,0.37337886578159774
32,40845,740,0,3,7192,60,1181,0.064,0.347,0,1,0,12,9,27608,4805,9165,10,170954,1,0.17607599275326838,3.8381760044487696
71,66204,620,0,1,138303,120,1015,0.077,0.184,0,1,1,22,43,27566,1073,145618,14,-66116,0,2.08901140397251,0.19931455344747803
45,58846,602,0,2,114831,120,2602,0.124,0.531,0,0,1,42,8,50290,2369,147334,16,153446,0,1.9513484119836186,0.437944127072593
20,41370,696,0,2,17562,48,1019,0.407,0.296,1,1,0,36,0,772,2604,28618,0,136054,1,0.42450025380097167,0.04395604395604396
46,53148,632,0,1,13303,84,1084,0.457,0.245,0,4,0,16,22,43126,10017,14916,7,80728,0,0.25029633671376694,3.24158147925436
44,64154,775,2,1,104229,72,2012,0.223,0.376,0,0,0,20,14,4336,6719,60969,0,114088,1,1.6246434416647182,0.04160030701333589
68,53923,702,1,1,58013,84,316,0.028,0.07,0,2,0,2,42,16421,7151,46626,24,183786,1,1.0758289444403235,0.28305236667011413
59,83324,589,0,3,145053,72,1815,0.149,0.261,0,0,0,22,28,18799,17011,214103,0,170535,0,1.7408100810081009,0.12960001103037488
29,63535,556,2,1,9238,12,1049,0.417,0.198,0,4,1,47,9,8542,6090,9543,6,43935,0,0.14539788466381265,0.9245589349496699
26,69955,608,1,0,110282,48,2046,0.261,0.351,0,0,0,23,6,35663,10102,54670,0,197273,0,1.5764480530619247,0.3233771297480119
53,127615,850,1,4,170173,72,1129,0.362,0.106,0,1,0,11,14,97093,37940,235807,17,123302,1,1.3334769934804414,0.5705513180626888
20,81940,638,2,3,130406,36,2294,0.277,0.336,0,0,0,47,0,57014,17826,215436,1,146535,1,1.5914621495954406,0.4372004570306809
36,129376,728,0,1,215621,60,5705,0.408,0.529,0,0,0,14,17,112711,6882,218268,13,326615,1,1.6666099847731823,0.5227249538544304
26,38717,542,0,4,74403,24,1359,0.179,0.421,0,3,0,26,6,4840,482,47593,4,107762,0,1.9216643421664341,0.06505026611472502
19,24435,562,0,3,11293,72,900,0.159,0.442,0,0,1,20,0,11709,324,16244,1,29053,0,0.46214601407759043,1.0367451744289002
71,50506,643,0,1,103000,48,849,0.271,0.202,0,3,0,30,39,33746,9488,193798,21,3996,0,2.039321282198507,0.32762788710789215
23,48397,813,0,1,64512,12,1553,0.409,0.385,0,0,0,15,1,29086,2971,32044,5,88940,1,1.3329476424645645,0.45085486646102335
18,112387,543,0,3,104387,24,2542,0.112,0.271,0,0,0,10,0,80296,5125,163792,0,340331,0,0.928809125529416,0.7692071885657356
72,30791,603,0,1,25316,48,804,0.283,0.313,0,4,0,27,37,792,4552,13983,15,56046,0,0.8221616004156924,0.031283327408460716
28,52081,741,0,0,114521,24,1795,0.273,0.414,0,1,0,22,5,42333,382,76573,5,29932,1,2.1988594908029646,0.3696494996594541
65,66342,803,0,0,74483,60,1136,0.185,0.205,0,1,0,18,28,15969,8434,91162,17,155500,1,1.1226956875631189,0.21439503786048011
19,56956,699,0,3,59898,84,2066,0.213,0.435,0,4,0,46,0,26339,1627,77906,0,116740,1,1.0516354442825289,0.4397235346166046
26,49723,720,1,0,51550,36,603,0.147,0.146,0,3,0,33,5,43922,8229,64554,5,51417,1,1.0367227093556433,0.8520106302496557
24,64814,579,0,3,139208,84,2205,0.31,0.408,0,2,0,24,3,48031,16757,274424,2,72038,0,2.1477744349301857,0.3450279795128188
58,92925,540,0,1,182003,12,1496,0.268,0.193,0,1,0,10,23,16513,6424,357647,20,38862,0,1.9585799453328454,0.09072877519175403
53,116759,556,0,4,47269,36,563,0.273,0.058,0,4,0,1,20,87337,16307,86281,1,523671,0,0.40483898595409384,1.8476200550031732
45,55072,581,1,3,118235,72,2442,0.263,0.532,0,1,0,14,17,45,11779,222834,4,46838,0,2.146877780400559,0.0003805947427179539
32,36028,680,0,3,36371,48,1563,0.182,0.521,0,0,0,29,4,24660,3327,54520,6,11709,0,1.009492353381998,0.6779940613658858
23,116688,550,0,2,110867,24,1470,0.52,0.151,0,4,0,27,4,77218,2988,88821,3,130276,0,0.9501066938614608,0.6964859111736479
51,31608,682,0,0,13864,60,1306,0.125,0.496,0,3,0,16,20,12962,361,19980,9,73802,0,0.4386092568572242,0.934871979805265
31,132626,631,1,1,54119,60,2700,0.224,0.244,0,4,0,13,9,118143,8159,30770,12,460795,1,0.40805416694941454,2.1829822616407983
52,106092,609,0,3,78599,60,1888,0.345,0.214,0,1,0,38,24,77679,12724,48140,2,409374,1,0.7408500089544079,0.9882824427480916
57,114085,739,2,3,50043,120,2261,0.102,0.238,0,3,0,10,27,86411,17178,66208,8,300419,1,0.4386427782550006,1.7267005035568699
67,76320,573,0,0,60146,60,547,0.543,0.086,0,0,0,14,35,57089,16793,56576,6,224695,0,0.7880661941012304,0.9491578964869404
46,18840,789,0,1,20430,48,819,0.137,0.522,0,1,0,24,10,2464,5411,36967,21,-6565,0,1.0843373493975903,0.12060104742792815
18,32223,734,0,1,27624,48,1475,0.403,0.549,0,1,0,20,0,10905,7930,13016,0,160565,0,0.8572492552135055,0.39475113122171945
34,63161,570,0,4,106952,48,609,0.275,0.116,0,0,0,30,5,6324,2525,57943,11,202143,0,1.6932966023875116,0.05912877619141118
67,38645,768,1,3,20513,36,371,0.022,0.115,0,4,0,14,41,14083,6797,29282,19,54888,1,0.5307923200331212,0.686506775860388
48,46275,560,0,1,23635,12,1418,0.257,0.368,0,2,0,15,18,29606,178,10915,0,112299,0,0.5107399083758319,1.2525808089355221
53,73600,776,1,0,84323,60,1140,0.385,0.186,0,1,0,25,32,58279,18725,166359,5,-231,1,1.1456773685140147,0.6911318248659931
44,49762,689,2,3,93859,36,1867,0.201,0.45,0,2,0,29,8,9981,2440,78255,2,130421,0,1.8861202097944256,0.1063392286383976
27,29451,517,0,0,31169,48,123,0.116,0.05,0,0,0,24,6,20870,1514,9616,7,88069,0,1.0582982479967404,0.669554058389477
70,84358,543,0,1,159378,12,1828,0.163,0.26,0,3,0,15,17,47025,13347,122405,7,140871,0,1.8892827084247086,0.2950514183173442
62,70084,623,0,0,78618,84,2220,0.398,0.38,0,1,0,24,27,49824,5826,50606,15,106691,0,1.1217521580937433,0.6337399356389677
75,47834,738,1,4,68971,36,1970,0.122,0.494,0,0,1,26,55,18785,3514,108655,20,109449,0,1.4418522002717675,0.27235689845154554
67,77314,644,1,0,96917,24,1063,0.235,0.165,0,3,0,34,47,27454,637,187468,18,160682,1,1.2535342430317533,0.28327039352854994
34,56813,642,0,4,124424,84,1914,0.469,0.404,0,2,0,39,15,7750,14938,149904,8,-86946,0,2.19002358573591,0.062286517982720516
32,105417,663,0,1,115541,60,3774,0.186,0.43,0,0,0,29,6,55060,18449,141460,12,331339,1,1.0960272439241876,0.47653667064790295
32,58431,480,1,4,90230,120,2504,0.612,0.514,0,1,0,14,13,35740,11493,55282,4,89522,0,1.5441881161007667,0.3960944686415977
71,105026,734,1,1,171017,84,1778,0.469,0.203,1,3,0,7,19,58290,8977,270038,7,194862,1,1.6283146238586268,0.3408413149493036
50,21230,780,0,4,39694,84,792,0.117,0.448,0,1,0,4,20,5437,2162,57864,13,-22805,0,1.86962460552965,0.13696939161103414
44,68159,731,0,3,103690,12,653,0.342,0.115,0,2,0,3,17,12299,9932,85417,20,274829,1,1.5212734741784038,0.11861202997367178
74,44403,621,0,3,92261,36,1200,0.273,0.324,0,0,0,21,35,28388,833,172128,19,73329,0,2.0777632645707595,0.3076889727081572
52,35258,580,0,1,65855,120,1341,0.139,0.456,0,0,0,17,19,5837,4375,93124,11,64142,0,1.867750077994271,0.08863277453838678
70,96688,562,0,0,184847,120,2202,0.683,0.273,1,2,0,44,46,13205,11620,74318,24,186051,0,1.9117686603439894,0.07143707262182983
75,84503,558,1,1,179374,24,2652,0.126,0.377,0,2,0,22,36,30960,3791,170667,17,-5659,0,2.122668749408312,0.1725993031358885
22,19865,850,0,3,15248,72,567,0.451,0.342,0,0,1,40,2,6278,1157,12499,1,38069,1,0.7675425349843954,0.4116991278116598
38,77477,652,1,1,105190,120,523,0.279,0.081,0,4,0,12,12,36181,6920,75359,9,248890,1,1.3576757273032345,0.34395528134536224
60,72916,741,0,1,20403,120,2266,0.38,0.373,0,1,0,36,32,39605,20587,29607,13,362220,1,0.27981129229123525,1.941040972358361
65,37739,736,1,1,51317,12,461,0.371,0.147,0,0,0,26,34,18982,7200,48075,18,148705,1,1.3597509273979862,0.36988970731517207
26,35680,672,0,0,16179,12,934,0.413,0.314,0,4,0,32,6,28725,5225,8422,8,140729,1,0.4534346010481769,1.7753399258343634
36,24457,576,0,1,29255,48,367,0.441,0.18,0,4,0,0,15,15427,1590,50956,15,81374,0,1.1961321449014637,0.5273106371342631
49,45763,706,0,4,27451,84,248,0.316,0.065,0,3,0,9,26,33766,4777,8333,9,129685,1,0.599838300847828,1.2300014570887368
64,49575,562,0,0,100683,60,2095,0.126,0.507,0,0,0,46,24,40042,12515,49622,15,237300,0,2.0308818783282234,0.39769973382066665
24,80700,714,0,3,26313,72,3537,0.299,0.526,0,0,0,16,2,40008,14842,14315,0,84543,1,0.3260554392138883,1.5204073877023638
52,61987,566,0,1,68551,36,2769,0.272,0.536,0,1,0,24,26,28430,7616,90523,0,199107,0,1.1058753307091695,0.4147216711401564
35,31889,620,0,0,55338,36,1437,0.012,0.541,1,3,0,30,8,3469,3327,32649,17,89774,0,1.7352775164628411,0.06268635139774842
30,61049,620,0,1,58960,84,2433,0.174,0.478,0,4,0,3,5,30727,1442,108347,7,12586,0,0.9657657657657658,0.5211410932650397
47,47713,785,2,1,50886,24,1065,0.202,0.268,0,0,0,43,28,13354,8041,76384,17,17623,1,1.0664794399966466,0.2624245878122114
42,33948,440,0,1,62666,24,1345,0.61,0.475,0,3,0,45,18,19767,5224,66800,18,95181,0,1.8458864767739844,0.3154291732490785
54,24471,850,0,2,29280,48,352,0.268,0.173,0,0,0,24,35,19180,2995,23224,5,41268,1,1.1964694344557045,0.6550322734879274
